STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EDITION,Edition,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,AUS,Australia,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2023,,754309.38,,A,Normal value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,AUT,Austria,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2022,,339790.4,,A,Normal value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,BEL,Belgium,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2024,,454073.55,,P,Provisional value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CAN,Canada,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2022,,1024671.11,,A,Normal value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CHL,Chile,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2023,,181891.89,,A,Normal value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,COL,Colombia,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2022,,495438.24,,A,Normal value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CRI,Costa Rica,GE,Government expenditures,PT_B1GQ,Percentage of GDP,S13,General government,2025,2025,PF,Public finance,2023,,40.88,,E,Estimated value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,CZE,Czechia,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2022,,237236.02,,A,Normal value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,DNK,Denmark,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2022,,205120.21,,A,Normal value,6,Millions,V,Current prices,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_2025(1.0),"Public finance main indicators - government at a glance, 2025 edition",I,A,Annual,EST,Estonia,GE,Government expenditures,USD_PPP,"US dollars, PPP converted",S13,General government,2025,2025,PF,Public finance,2022,,25768.57,,A,Normal value,6,Millions,V,Current prices,,
