Country,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czechia,Denmark,Estonia,France,Greece,Hungary,Iceland,Ireland,Italy,Japan,Latvia,Lithuania,Luxembourg,Mexico,The Netherlands,New Zealand,Norway,Poland,Portugal,Spain,Sweden,Switzerland,United Kingdom,United States,,Finland,Israel,South Korea,Slovak Republic,Slovenia,Turkey,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. COMPREHENSIVENESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1 Oldest year,2007,1999,2005,2015,1997,1997,2011,1998,2011,n/a,2013,n/a,n/a,2018,2017,2014,2002,n/a,2016,,1992,1972,2002,1990,2012,2010,2007,2006,2005,1998,2022,,1999,1991,2017,2012,n/a,1964,2014
1.2 Latest year,2025,2025,2022,2025,2025,2025,2024,2024,2023,n/a,2025,n/a,n/a,2025,2023,2025,2025,n/a,2025,,2024,2025,2025,2025,2025,2025,2022,2025,2025,2025,2025,,2025,2025,2024,2025,n/a,2023,2025
1.3 Discontinuity,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,n/a,n/a,Yes,n/a,no,no,n/a,no,yes,yes ,Yes,No,1991,n/a,2020-2021,2017-2019,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,,n/a
1.4 Volume of evaluations,122,45,81,235,711,108,70,72,99,0,202,0,0,47,150,1469,,0,,24,296,500,,6924,150,350,50,650,935,1876,0,,300,2796,n/a,70,0,737,65
1.4.1 Uncertain number,,,,,,,,,,,,,,,,,,,,,,estimate,,,"~100-200 (estimate based on number of search results for ""evaluation"", tempered by proportion of results on randomly selected pages that are not evaluations","300-400 (based on reports per page times number of pages, plus estimate on separate evaluation since relocation of publication",,~650 (based on results per pages times number of pages),,,,,,"8289 'reports', assume 1/3 are policy evaluations",,,,,
1.5 Number of COFOG categories covered,10,2,2,5,10,10,9,2,2,0,10,0,0,2,6,10,10,0,7,1,3,10,1,10,6,10,8,10,10,10,10,,3,10,10,1,0,10,1
1.6 What are the policy areas?,All,Development and Economic Affairs,Development and social protection,"General public services, economic affairs, housing, education, social protection",all,all,Seems to be all excluding defence,"Decentralised: Foreign affairs, Finance","Decentralised: Foreign affairs, Digital Government",n/a,all,n/a,n/a,"Decentralised: International development, education","health, environmental, general public services, education, economics, defence",all,all,n/a,"general public services; health; economic affairs; education; recreation, culture and religion; social protection; public order and safety ",general public services,"Health, Education, Social Protection",all,,all,"Health, general public services, economic affairs, education, environmental protection, social protection",all,"General public services, social protection, housing and community amenities, health, environmental protection, education, recreation culture and religion, economic affairs",all,all,all,all,,"Decentralised: Economic Development, Foreign affairs, Education",all,all,Economic policy,n/a,all,Development
1.7 Additional information (news/external links),,,,,,,,No,No,n/a,No,no,no,n/a,no,performence plan,"methodologies, Q&A",n/a,news,,"measuring poverty portal, press",,No,,n/a,Yes,No,Yes,Yes,No,No,,No,,n/a,n/a,no,"Announcements, e.g..: Weekly Developments and General Outlook in Turkish Economy",
1.8 Notes,"No discontinuity, but very limited before 2017. Only COFOG policy area which is less clear is housing, but this may come under ""Built Environment"" and ""Social Issues""; volumes calculated by adding all of the number of evaluations from each year filter",Discontinuity: no evaluations in 2014. There are two decentralised portals. One focusing on development and research and technology evaluations (Economic Affairs COFOG category); volumes counting only devlopment,"Discontinuity: No reports for 2007, 2015 or after 2024. Two decentralised portals. The first is the Special Evaluation Office (SEO) operating as part of the FBS Foreign Affairs website (looking at development). The second is run by the Minsitry for Social Integration (SPP), which largely focuses on social protection. It features policy reports and some evaluations, although it is not specifically dedicated to eveluations.",The portal is run by the department of Employment and Social Development Canada (ESDC),volume: total number of reports without any year filter on,Discontinuity: 1998-2000,2012-2015,This evaluation page is part of the Ministry of Foreign Affairs Website and only covers Development Cooperation and Humanitarian Aid policies,Published by Ministry of Foreign Affairs,This country does not have a portal for publishing government evaluation reports,Published by the High Commission of Strategy and Planning,This country does not publish evaluaiton reports,This country does not publish evaluation reports,Published by the Ministry of Foreign Affairs,volume excludes spending review,"each year reports evaluate the previous year; external links to: The Italian Anticorruption Authority, National agency for the evaluation of universities and research (ANVUR), National Agency for Regional Health Services (AGENAS)",each year reports evaluate the previous year;also a section about their research into policy evaluation practices in other countries,This country does not publish evaluation reports,,"case-based, only exists for Directorate for Development Cooperation and Humanitarian Affairs; years excluding NGO evaluations","CONEVAL is in dissolution process as a department; The Budget Transparency portal from The Ministry of Finance and Public Credit is more like audits; certain years only have some documents not all, e.g., Evaluaion Reports on Social Development Policy has many years missing",Discontinutiy: 1974-1979. Volume of evaluations: This has been calculated by multiplying the average numver of evaluations on each page (10) by the number of pages (81) minus the number of spending reviews (~300).,Published by Ministry of Foreign Affairs and Trade,,Not same evaluations available year-to-year. Primarily aid-focused,"Evaluation study database for 2010-2019, transition to more tailored content in 2022. News, analysis notes, methodological guides, diverse resources etc...",Eclectic collection of evaluation areas,"Ongoing assignments, calendars, press releases","Research projects, external studies","Inconsistent but backlog of evaluations added since release, discontinuities possible but unlikely with scale.",Evaluation plans from each department,,Published by Ministry of Foreign Affairs,under 'reports' in the Israeli government website publication database. search for reports in the Israeli government website publication database,,Published by Regulatory Reform Centre,This country does not publish evaluation reports,commision reports for the next 5-year plan reviews previous one --> omitted the first 5-year plan,"There is no tool to search by date/year, so discontinuity is unknown. Although DEval has a number of evaluation categories, they all fall under development cooperation"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. ACCESSIBILITY (FORMAT & PRESENTATION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
