STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_INTROOBJ-IMPAC,Improve accountability and transparency of decision-making,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOMOF,4.1 Please select the responsibilities of the Ministry of Finance or equivalent in relation to policy evaluation:,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOPLAN-ADVBP,Advise government institution on best practices,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOPUB-ADVBP,Advise government institution on best practices,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_EXTACT-NONE,None,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_WCHSK-SOCP,"Social partners (e.g., employer organisations or trade unions)",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_GUDCONT-SKENG,Stakeholder engagement,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_AM_INFOGUID,16.2 Please provide the following information on central guidelines:,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_AM_INFOGUID-GUID1_NAME,Policy Evaluation Guideline 1-Name of the institution that issued the document,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_AM_INFOGUID-GUID4_TIT,Policy Evaluation Guideline 4-Title,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_AM_INFOGUID-GUID5_LINK,Policy Evaluation Guideline 5-Please provide a weblink if available or share it via email,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MCC_SPCETH-EVIND,The independence of evaluators,2023,,,,A,Normal value,0,Units
